Day,Meal,Items
Sunday,Breakfast,"Tea, Coffee, Milk; Bread, Butter, Jam; Cornflakes; Boiled eggs; Mix Fruits; Masala dosa, Sambar; Groundnut Chutney"
Sunday,Lunch,"Mix Veg; Masala Khichdi; Masoor Dal, Roti; Potato wedges; Boondi Raita; Salad, Pickle"
Sunday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Dahi Vada; Chat Masala"
Sunday,Dinner,"Paneer Kohlapuri; Chettinad Chicken; Dal Fry; Hyderabadi Bagara Rice/; Coconut rice; Butter Roti/Butter Nan; Ice Cream; Salad, Pickle"
Monday,Breakfast,"Tea, Coffee, Milk; Bread, Butter, Jam; Cornflakes , Chocos; Boiled Eggs; Mix Fruits; Gobhi Paratha; Tomato Kurma"
Monday,Lunch,"Veg Manchurian; Soya Chunks &; Egg Fried Rice; Toor Dal; Roti; Curd With Tadka; Fried Papad; Salad, Pickle"
Monday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Dal / Pyaz kachori; Imli Chutney; Green Chutney"
Monday,Dinner,"Gatte ki sabzi; Dal Tadka; Rice; Roti; Aam Ras; Salad, Pickle"
Tuesday,Breakfast,"Tea, Coffee, Milk,; Bread, Butter, Jam; Cornflakes; Boiled Eggs; Mix Fruits; Uttapam, Sambar; Onion Tomato Chutney"
Tuesday,Lunch,"Lauki Kofta; Toor Dal; Roti, Rice; Veg Raita, Fryums; Salad, Pickle"
Tuesday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Pav Bhaji; Onion, Lemon"
Tuesday,Dinner,"Punjabi Chhole; Yellow Moong Dal; Plain Rice; Puri, Roti; Besan Ladoo; Salad, Pickle"
Wednesday,Breakfast,"Tea, Coffee, Milk; Bread, Butter, Jam; Cornflakes; Bread Omelette; Mix Fruits; Poha; (with Onions; Lemon and Namkeen); Ketchup"
Wednesday,Lunch,"Jeera aloo; Kadhi Pakoda; Jeera Rice; Roti; Fryums, Boondi Raita; Salad, Pickle"
Wednesday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Sweet Corn; Chaat Masala"
Wednesday,Dinner,"Veg Biryani; Hyderabadi Chicken; Dum Biryani; Kadhai Paneer; Butter Roti; Kulfi; Veg Raita; Salad, Pickle"
Thursday,Breakfast,"Tea, Coffee, Milk; Bread, Butter, Jam; Cornflakes, Chocos; Boiled Eggs; Mix Fruits; Dhokla; Imli Chutney; Fried Hari Mirch; Kechtup"
Thursday,Lunch,"Toor Daal; Dry Moong Sabzi; Lemon Rice; Roti, Potato wedges; Veg Raita; Salad, Pickle"
Thursday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Palak Pyaz Pakoda; Green Chutney; Ketchup"
Thursday,Dinner,"Bhindi; Rajma; Rice; Roti; Jalebi; Salad, Pickle"
Friday,Breakfast,"Tea, Coffee, Milk; Bread, Butter, Jam; Cornflakes; Omelette; Mix Fruits; Vegetable Idli, Sambhar; groundnut Chutney"
Friday,Lunch,"Paneer Bhurji/Paneer; Butter Masala; Egg Curry; Dal,Jeera Rice; Butter Roti; Fryums, Curd; Salad, Pickle"
Friday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Chole Samose with onion; Imli Chutney; Green Chutney; Ketchup"
Friday,Dinner,"Banarasi Aloo; Dal Tadka; Matar Pulao; Roti; Vermicelli Kheer; Salad, Pickle"
Saturday,Breakfast,"Tea, Coffee, Milk; Bread, Butter, Jam; Cornflakes; Boiled Eggs; Mix Fruits; Aloo Pyaz Paratha,; Curd, Pickle"
Saturday,Lunch,"Chhole Bhature; Chana Dal; Rasam; Rice; Roti; Fried Papad, Mint Chaach; Salad, Pickle , Lemon"
Saturday,Snacks,"Tea, Coffee, Milk; Bread, Butter, Jam; Fried Idli; Ketchup"
Saturday,Dinner,"Dal Bafle; Baingan Bharta; Jeera Rice; Roti; Kala Jamun; Salad, Pickle"
